Computer Name,Operating System,Model,Serial Number
MCDB-2UA6010ZGK,Windows 10,Z840 Workstation,2UA6010ZGK
MCDB-2UA6242PW8,Windows 10,ProDesk 600 G2 MT,2UA6242PW8
MCDB-2UA6341GJB,Windows 7,ProDesk 600 G2 MT,2UA6341GJB
MCDB-2UA6352H6R,Windows 10,ProDesk 600 G2 SFF,2UA6352H6R
MCDB-2UA6372Y8S,Windows 7,,
MCDB-2UA7032Q3B,Windows 10,ProDesk 600 G2 SFF,2UA7032Q3B
MCDB-2UA704222M,Windows 10,ProDesk 600 G2 SFF,2UA704222M
MCDB-2UA7141MPR,Windows 11,ProDesk 600 G2 SFF,2UA7141MPR
MCDB-2UA724213X,Windows 10,ProDesk 600 G2 SFF,2UA724213X
MCDB-2UA7361YT3,Windows 10,Z240 SFF Workstation,2UA7361YT3
MCDB-2UA7371XLJ,Windows 10,Z440 Workstation,2UA7371XLJ
MCDB-2UA8162M2T,Windows 11,Z4 G4 Workstation,2UA8162M2T
MCDB-2UA8171K2J,Windows 10,,
MCDB-2UA8171K2L,Windows 10,Z240 SFF Workstation,2UA8171K2L
MCDB-2VPR2Z3,Windows 11,OptiPlex SFF Plus 7010,2VPR2Z3
MCDB-2YA4290QXX,Windows 10,ProDesk 600 G1 SFF,2UA4290QXX
mcdb-3048a-02,Windows 7,,
MCDB-31NR1G3,Windows 11,Precision 5820 Tower,31NR1G3
MCDB-33CV1G3,Windows 10,Precision 5820 Tower,33CV1G3
MCDB-3FVF0J3,Windows 11,Latitude 9420,3FVF0J3
MCDB-3JG49Y3,Windows 11,Precision 7670,3JG49Y3
MCDB-3LQW7B3,Windows 11,XPS 8940,3LQW7B3
mcdb-3nl41q2,Windows 10,OptiPlex 7050,3NL41Q2
mcdb-4088a-01,Windows 7,,
MCDB-46PCPR3,Windows 11,OptiPlex 5000,46PCPR3
MCDB-46Q2JS1,Windows 10,OptiPlex 990,46Q2JS1
MCDB-48SBQF2,Windows 10,,
MCDB-4B9H6J3,Windows 11,Latitude 5420,4B9H6J3
